"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Timex Unisex Expedition Mid-Size Classic Digital Chrono Alarm Timer Watch",11,564,525,6,0,0,6,0
"Timex Women's T5K460 1440 Sports Blue Resin Digital Watch",6,435,398,6,100,0,6,0
"Bulova Diamond Chronograph 96R19 Watch",5,203,177,5,100,0,5,0
"Bulova Men's 96B175 Precisionist Stainless Steel Watch",5,264,239,5,100,0,5,0
"Casio Core Watch",7,316,297,5,0,0,5,0
"Casio G Shock GW-5000-1JF Multi Band 6 Japan Made",5,361,351,5,100,0,5,0
"Casio Men's PAG240T-7CR Pathfinder Triple-Sensor Stainless Steel Watch with Titanium Bracelet",6,811,762,5,0,0,5,0
"Casio Men's PRW-2500R-1CR Pro Trek Tough Solar Digital Sport Watch",7,550,503,5,0,0,5,0
"Casio Men's SGW100-1V Twin Sensor Digital Black Watch",8,977,911,5,0,0,5,0
"Casio Men's SGW300HB-3AVCF Multi-Function Sport Watch with Green Nylon Band",6,333,317,5,0,0,5,0
"Casio Men's SGW400H-1B Sport Multi-Function Grey Dial Watch",5,281,267,5,100,0,5,0
"Casio Men's W800H-1AV Classic Sport Watch with Black Band",9,940,881,5,0,0,5,0
"Citizen Men's AT0200-05E Eco-Drive Stainless Steel Watch with Green Canvas Band",11,703,653,5,0,0,5,0
"Citizen Men's  BJ7000-52E Nighthawk Stainless Steel Eco-Drive Watch",7,725,680,5,0,0,5,0
"Citizen Men's BM8240-03E Eco-Drive Stainless Steel Watch with Leather Band",9,458,412,5,0,0,5,0
"Citizen Men's BM8242-08E Eco-Drive Gold-Tone Stainless Steel Watch with Brown Leather Band",5,443,415,5,100,0,5,0
"Citizen Men's BN0000-04H Stainless Steel Eco-Drive Dive Watch",9,558,510,5,0,0,5,0
"Citizen Men's JY0010-50E Eco-Drive Skyhawk A-T Titanium Watch",9,581,488,5,0,0,5,0
"Citizen Men's JY0050-55L Blue Angels Skyhawk A-T Titanium Eco-Drive Watch",8,429,367,5,0,0,5,0
"G-Rescue Solar Atomic Classic Color Watch",9,1244,1133,5,0,0,5,0
"G-Shock G100-1BV Men's Black Resin Sport Watch",12,1148,1006,5,0,0,5,0
"G-Shock GW2310-1 Men's Tough Solar Atomic Black Resin Sport Watch",7,431,400,5,0,0,5,0
"G-Shock GWM5610-1 Men's Solar Black Resin Sport Watch",7,428,398,5,0,0,5,0
"G-Shock MTGM900DA-8CR Men's Tough Solar Atomic Stainless Steel Sport Watch",6,581,556,5,0,0,5,0
"Invicta Men's 0074 pro Diver Analog Japanese Quartz 18k Gold-plated Stainless Steel Watch",5,126,114,5,100,0,5,0
